Variable,Source,2020,2030,2040,2050,percch_2030,percch_2040,percch_2050
Gross fossil CO2,filtered C1,36184.3,19359.948145625745,11282.588746237978,7138.699871859837,-0.46496275606752807,-0.6881910456679284,-0.8027127822879029
Gross fossil CO2,NZE,34780.0,23081.0,6808.0,1526.0,-0.33637147786083954,-0.8042553191489362,-0.9561242093156986
Gross fossil CO2,CWF,40815.0,19612.0,8847.0,2908.0,-0.5194903834374617,-0.7832414553472988,-0.928751684429744
Gross fossil CO2,Cross sector benchmark,35289.751,19752.560379496535,8520.265490891295,3674.9726107878523,-0.4402748724552764,-0.7585626067213879,-0.8958628920111152
Gross fossil CO2e,Cross sector benchmark,43291.5772405019,22772.03047297784,10720.03230044177,5264.906361867152,-0.47398473503355704,-0.752376028230902,-0.8783849723788416
N2O (Mt CO2e),Cross sector benchmark,640.1818605019037,420.0112755868526,322.01961417112636,247.3403270793,-0.343918811980141,-0.49698728745818815,-0.6136405257009551
CH4 (Mt CO2e),Cross sector benchmark,5731.37142,2227.980334894452,1685.0238323793496,1152.05608,-0.6112657561993335,-0.7059998892238344,-0.7989912020044934
HFC (Mt CO2e),Cross sector benchmark,1270.48446,257.115735,100.97189099999999,119.94159599999999,-0.7976238646791477,-0.9205248909538021,-0.9055938110411835
PFC (Mt CO2e),Cross sector benchmark,220.97934,58.660668,41.419512000000005,27.959868000000004,-0.7345422970310256,-0.8125638713555756,-0.8734729319039508
SF6 (Mt CO2e),Cross sector benchmark,138.80916000000002,55.702079999999995,50.33196,42.63588,-0.5987146669571375,-0.6374017391935806,-0.6928453424831618
