2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Variable,scen_id
36184.3,,,,,36677,,,,,23224,,,,,13017,,,,,6739.64,,,,,3105.2,,,,,1072.94,Emissions|CO2|Energy and Industrial Processes,C-ROADS-5.005 Ratchet-1.5-noCDR
36139.9,,,,,28797.7,,,,,13650.4,,,,,5452.2,,,,,1606.33,,,,,105.065,,,,,22.2908,Emissions|CO2|Energy and Industrial Processes,C-ROADS-5.005 Ratchet-1.5-noCDR-noOS
36804.18228,,,,,,,,,,16071.17649,,,,,,,,,,7878.813982,,,,,,,,,,3968.170788,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM 1.0 LowEnergyDemand_1.3_IPCC
38495.45068,,,,,24991.66395,,,,,16382.53036,,,,,11600.68774,,,,,8182.831205,,,,,5550.028658,,,,,3941.055048,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.1 EN_NPi2020_500
36716.20539,,,,,25951.29326,,,,,20082.16521,,,,,15334.72625,,,,,11877.08567,,,,,8863.031238,,,,,6411.031253,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.1 EN_NPi2020_600_COV
38156.937,,,,,26528.42014,,,,,18522.99445,,,,,13991.74213,,,,,10970.32985,,,,,8375.731688,,,,,6570.747268,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.1 EN_NPi2020_600_DR1p
38169.22715,,,,,26746.35303,,,,,18932.45862,,,,,14376.52698,,,,,11280.22062,,,,,8457.877144,,,,,6297.31154,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.1 EN_NPi2020_600_DR2p
38198.07066,,,,,27012.80156,,,,,19306.17252,,,,,14490.01633,,,,,11387.65592,,,,,8436.964324,,,,,6182.317103,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.1 EN_NPi2020_600_DR3p
38359.95146,,,,,27344.97485,,,,,19694.27271,,,,,14597.98864,,,,,11407.70615,,,,,8348.780364,,,,,6027.366797,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.1 EN_NPi2020_600_DR4p
36716.20539,,,,,25641.65547,,,,,19548.44337,,,,,14786.47253,,,,,11501.9406,,,,,8553.979556,,,,,6216.681123,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.1 NGFS2_Net-Zero 2050
35198.894,,,,,28678.1496,,,,,24020.1876,,,,,19177.2304,,,,,15085.2595,,,,,11995.9112,,,,,8750.4721,Emissions|CO2|Energy and Industrial Processes,REMIND 2.1 LeastTotalCost_LTC_brkLR15_SSP1_P50
35177.3576,,,,,30030.4913,,,,,23687.4424,,,,,17886.4364,,,,,13684.1041,,,,,9872.7067,,,,,5714.1895,Emissions|CO2|Energy and Industrial Processes,REMIND-MAgPIE 2.1-4.2 EN_NPi2020_400f
33089.0134,,,,,28896.1887,,,,,24908.6024,,,,,19628.6985,,,,,15471.3585,,,,,11896.4543,,,,,8256.0535,Emissions|CO2|Energy and Industrial Processes,REMIND-MAgPIE 2.1-4.2 EN_NPi2020_600f_COV
35483.0439,,,,,27999.34,,,,,19132.2746,,,,,12509.4817,,,,,7438.2504,,,,,3752.4922,,,,,1119.0482,Emissions|CO2|Energy and Industrial Processes,REMIND-MAgPIE 2.1-4.2 NGFS2_Divergent Net Zero Policies
35158.9233,,,,,29112.681,,,,,23419.5516,,,,,18011.9458,,,,,14115.9976,,,,,10747.8875,,,,,7485.6266,Emissions|CO2|Energy and Industrial Processes,REMIND-MAgPIE 2.1-4.2 SusDev_SDP-PkBudg1000
34627.92044,,,,,24471.42671,,,,,20354.40028,,,,,16790.27622,,,,,14673.30565,,,,,11901.11363,,,,,9198.775773,Emissions|CO2|Energy and Industrial Processes,WITCH 5.0 EN_NPi2020_500f
37994.3157,,,,,28393.07335,,,,,22088.79586,,,,,19555.23996,,,,,17324.25983,,,,,15055.6732,,,,,13171.89945,Emissions|CO2|Energy and Industrial Processes,WITCH-GLOBIOM 4.4 CD-LINKS_NPi2020_1000
36089.55349,33764.04522,30740.36481,28726.17733,27052.71506,25902.19461,,,,,17377.65512,,,,,12350.45944,,,,,8895.533016,,,,,6272.335716,,,,,4286.897273,Emissions|CO2|Energy and Industrial Processes,MESSAGEix-GLOBIOM_1.2 COV_Restore_550
